time,latitude,longitude,speed,direction,date,magnetic declination,status,facing,facing2,sys_timestamp
071857.50,3106.79429192,10345.46864319,0.002,8.9,090925,2.0,A,North,East,1757402337.0711935
071857.60,3106.79429239,10345.46864215,0.002,355.2,090925,2.0,A,North,East,1757402337.172439
071857.70,3106.79429292,10345.46864103,0.003,292.5,090925,2.0,A,North,East,1757402337.2730255
071857.80,3106.79429336,10345.46864001,0.002,312.0,090925,2.0,A,North,East,1757402337.370955
071857.90,3106.79429393,10345.46863909,0.002,307.6,090925,2.0,A,North,East,1757402337.4706173
071858.00,3106.79429452,10345.46863818,0.002,316.3,090925,2.0,A,North,East,1757402337.5720491
071858.10,3106.79429516,10345.46863748,0.003,309.3,090925,2.0,A,North,East,1757402337.6694853
071858.20,3106.79429581,10345.46863675,0.003,300.8,090925,2.0,A,North,East,1757402337.7709801
071858.30,3106.79429647,10345.46863602,0.004,294.4,090925,2.0,A,North,East,1757402337.869681
071858.40,3106.79429712,10345.46863532,0.003,299.8,090925,2.0,A,North,East,1757402337.968933
071858.50,3106.79429778,10345.46863463,0.003,309.2,090925,2.0,A,North,East,1757402338.067737
071858.60,3106.79429842,10345.46863394,0.003,307.9,090925,2.0,A,North,East,1757402338.1658154
071858.70,3106.79429907,10345.46863325,0.004,308.3,090925,2.0,A,North,East,1757402338.2635152
071858.80,3106.79429972,10345.46863257,0.005,312.3,090925,2.0,A,North,East,1757402338.3638515
071858.90,3106.79430035,10345.46863192,0.004,312.8,090925,2.0,A,North,East,1757402338.4689996
071859.00,3106.79430092,10345.46863133,0.002,327.7,090925,2.0,A,North,East,1757402338.565128
071859.10,3106.79430140,10345.46863083,0.002,338.2,090925,2.0,A,North,East,1757402338.663618
071859.20,3106.79430186,10345.46863035,0.002,340.4,090925,2.0,A,North,East,1757402338.7740707
071859.30,3106.79430230,10345.46862987,0.002,324.5,090925,2.0,A,North,East,1757402338.8731842
071859.40,3106.79430273,10345.46862941,0.002,321.7,090925,2.0,A,North,East,1757402338.9759488
071859.50,3106.79430315,10345.46862895,0.001,314.7,090925,2.0,A,North,East,1757402339.0737867
071859.60,3106.79430359,10345.46862852,0.002,359.9,090925,2.0,A,North,East,1757402339.1734614
071859.70,3106.79430404,10345.46862808,0.002,353.1,090925,2.0,A,North,East,1757402339.2718482
071859.80,3106.79430450,10345.46862759,0.002,350.3,090925,2.0,A,North,East,1757402339.3735113
071859.90,3106.79430496,10345.46862712,0.002,333.0,090925,2.0,A,North,East,1757402339.4735534
071900.00,3106.79430542,10345.46862664,0.002,338.0,090925,2.0,A,North,East,1757402339.5720718
071900.10,3106.79430597,10345.46862614,0.001,18.1,090925,2.0,A,North,East,1757402339.664769
071900.20,3106.79430652,10345.46862566,0.002,58.0,090925,2.0,A,North,East,1757402339.767516
071900.30,3106.79430688,10345.46862525,0.003,70.4,090925,2.0,A,North,East,1757402339.8722048
071900.40,3106.79430717,10345.46862496,0.003,62.6,090925,2.0,A,North,East,1757402339.9700146
071900.50,3106.79430748,10345.46862468,0.003,50.5,090925,2.0,A,North,East,1757402340.0687308
071900.60,3106.79430782,10345.46862436,0.003,21.9,090925,2.0,A,North,East,1757402340.1710181
071900.70,3106.79430818,10345.46862400,0.003,26.6,090925,2.0,A,North,East,1757402340.2731855
071900.80,3106.79430854,10345.46862364,0.003,11.7,090925,2.0,A,North,East,1757402340.37225
071900.90,3106.79430891,10345.46862325,0.003,359.3,090925,2.0,A,North,East,1757402340.47098
071901.00,3106.79430929,10345.46862284,0.003,350.6,090925,2.0,A,North,East,1757402340.5736837
071901.10,3106.79430966,10345.46862245,0.003,1.0,090925,2.0,A,North,East,1757402340.665315
071901.20,3106.79431004,10345.46862203,0.003,354.4,090925,2.0,A,North,East,1757402340.7636478
071901.30,3106.79431042,10345.46862159,0.004,348.1,090925,2.0,A,North,East,1757402340.8670583
071901.40,3106.79431081,10345.46862117,0.004,347.7,090925,2.0,A,North,East,1757402340.9648087
071901.50,3106.79431120,10345.46862075,0.004,347.0,090925,2.0,A,North,East,1757402341.0719671
071901.60,3106.79431155,10345.46862036,0.003,349.8,090925,2.0,A,North,East,1757402341.1684766
071901.70,3106.79431200,10345.46861986,0.009,325.5,090925,2.0,A,North,East,1757402341.2729173
071901.80,3106.79431250,10345.46861934,0.010,337.1,090925,2.0,A,North,East,1757402341.3713992
071901.90,3106.79431296,10345.46861882,0.007,341.3,090925,2.0,A,North,East,1757402341.4745572
071902.00,3106.79431340,10345.46861830,0.005,338.5,090925,2.0,A,North,East,1757402341.5666234
071902.10,3106.79431387,10345.46861778,0.007,339.7,090925,2.0,A,North,East,1757402341.6750722
071902.20,3106.79431434,10345.46861726,0.006,352.4,090925,2.0,A,North,East,1757402341.7768452
071902.30,3106.79431484,10345.46861670,0.006,344.7,090925,2.0,A,North,East,1757402341.8709648
071902.40,3106.79431537,10345.46861611,0.007,337.1,090925,2.0,A,North,East,1757402341.9688523
071902.50,3106.79431590,10345.46861552,0.006,346.7,090925,2.0,A,North,East,1757402342.0732925
071902.60,3106.79431644,10345.46861492,0.007,345.3,090925,2.0,A,North,East,1757402342.1715653
071902.70,3106.79431696,10345.46861432,0.007,347.1,090925,2.0,A,North,East,1757402342.2748058
071902.80,3106.79431748,10345.46861369,0.007,343.5,090925,2.0,A,North,East,1757402342.3742383
071902.90,3106.79431797,10345.46861308,0.005,354.2,090925,2.0,A,North,East,1757402342.468224
071903.00,3106.79431846,10345.46861249,0.005,358.8,090925,2.0,A,North,East,1757402342.5645065
071903.10,3106.79431894,10345.46861192,0.005,9.8,090925,2.0,A,North,East,1757402342.6653504
071903.20,3106.79431946,10345.46861132,0.006,358.9,090925,2.0,A,North,East,1757402342.7651706
071903.30,3106.79432001,10345.46861067,0.006,347.5,090925,2.0,A,North,East,1757402342.8680522
071903.40,3106.79432036,10345.46861019,0.005,1.3,090925,2.0,A,North,East,1757402342.9741495
071903.50,3106.79432071,10345.46860971,0.004,23.7,090925,2.0,A,North,East,1757402343.068846
071903.60,3106.79432108,10345.46860923,0.003,19.2,090925,2.0,A,North,East,1757402343.1698503
071903.70,3106.79432162,10345.46860860,0.002,359.6,090925,2.0,A,North,East,1757402343.2673788
071903.80,3106.79432215,10345.46860795,0.002,359.1,090925,2.0,A,North,East,1757402343.3758955
071903.90,3106.79432269,10345.46860732,0.002,52.0,090925,2.0,A,North,East,1757402343.469807
071904.00,3106.79432322,10345.46860669,0.003,24.4,090925,2.0,A,North,East,1757402343.5697505
071904.10,3106.79432374,10345.46860606,0.003,5.2,090925,2.0,A,North,East,1757402343.672791
071904.20,3106.79432423,10345.46860546,0.003,4.8,090925,2.0,A,North,East,1757402343.775534
071904.30,3106.79432459,10345.46860493,0.002,349.6,090925,2.0,A,North,East,1757402343.8683689
071904.40,3106.79432497,10345.46860445,0.002,35.1,090925,2.0,A,North,East,1757402343.9669163
071904.50,3106.79432535,10345.46860397,0.002,30.5,090925,2.0,A,North,East,1757402344.0659149
071904.60,3106.79432588,10345.46860350,0.003,351.9,090925,2.0,A,North,East,1757402344.1729155
071904.70,3106.79432643,10345.46860303,0.006,336.1,090925,2.0,A,North,East,1757402344.2664433
071904.80,3106.79432682,10345.46860254,0.006,341.2,090925,2.0,A,North,East,1757402344.3685231
071904.90,3106.79432720,10345.46860213,0.005,8.8,090925,2.0,A,North,East,1757402344.4735749
071905.00,3106.79432759,10345.46860175,0.005,18.2,090925,2.0,A,North,East,1757402344.5656254
071905.10,3106.79432805,10345.46860128,0.004,25.0,090925,2.0,A,North,East,1757402344.673015
071905.20,3106.79432851,10345.46860079,0.003,18.9,090925,2.0,A,North,East,1757402344.772477
071905.30,3106.79432895,10345.46860031,0.002,47.1,090925,2.0,A,North,East,1757402344.8777854
071905.40,3106.79432940,10345.46859985,0.003,22.3,090925,2.0,A,North,East,1757402344.9746816
071905.50,3106.79432970,10345.46859953,0.004,22.9,090925,2.0,A,North,East,1757402345.0653553
